Year,Max
1998.052055,30
1998.054795,28.8
1998.057534,31.3
1998.060274,32
1998.063014,32.6
1998.065753,32.7
1998.068493,28.2
1998.071233,29.5
1998.073973,28.1
1998.076712,29.4
1998.079452,32.5
1998.082192,32.8
1998.084932,33.4
1998.087671,33.4
1998.090411,32.5
1998.093151,33
1998.09589,32.1
1998.09863,30.7
1998.10137,32.8
1998.10411,32.5
1998.106849,31.9
1998.109589,33.1
1998.112329,32.9
1998.115068,33.3
1998.117808,32.1
1998.120548,32.4
1998.123288,32.3
1998.126027,33
1998.128767,33.1
1998.131507,32.9
1998.134247,33.7
1998.136986,32.3
1998.139726,34.5
1998.142466,33
1998.145205,33.8
1998.147945,30.6
1998.150685,33.4
1998.153425,30.5
1998.156164,32.1
1998.158904,30.6
1998.161644,29.4
1998.164384,29.2
1998.167123,27.8
1998.169863,29.9
1998.172603,32.8
1998.175342,33.1
1998.178082,32.5
1998.180822,31.8
1998.183562,33
1998.186301,32.1
1998.189041,32.8
1998.191781,31.3
1998.194521,32
1998.19726,32.8
1998.2,31.1
1998.20274,31.1
1998.205479,33.5
1998.208219,32.5
1998.210959,34.1
1998.213699,32.9
1998.216438,33.6
1998.219178,32.2
1998.221918,32.7
1998.224658,32.8
1998.227397,34.8
1998.230137,34
1998.232877,33.2
1998.235616,32.7
1998.238356,34.7
1998.241096,35.5
1998.243836,34.1
1998.246575,36.5
1998.249315,35.1
1998.252055,34
1998.254795,31.8
1998.257534,33.3
1998.260274,33.6
1998.263014,34.7
1998.265753,35.1
1998.268493,34.7
1998.271233,35.3
1998.273973,35.1
1998.276712,33.1
1998.279452,33.3
1998.282192,34.9
1998.284932,35.5
1998.287671,35.4
1998.290411,34.1
1998.293151,30.4
1998.29589,33.1
1998.29863,33.2
1998.30137,32.5
1998.30411,32.3
1998.306849,31.6
1998.309589,33.6
1998.312329,33.9
1998.315068,33
1998.317808,33.6
1998.320548,33.6
1998.323288,34.8
1998.326027,34.5
1998.328767,34.6
1998.331507,35
1998.334247,34.2
1998.336986,34.8
1998.339726,34.1
1998.342466,32.4
1998.345205,31.5
1998.347945,32.7
1998.350685,33.1
1998.353425,34.3
1998.356164,34.2
1998.358904,34.5
1998.361644,34.6
1998.364384,33.9
1998.367123,35.1
1998.369863,34
1998.372603,32.8
1998.375342,35.3
1998.378082,34.6
1998.380822,33.2
1998.383562,31.9
1998.386301,31.8
1998.389041,33.1
1998.391781,33.3
1998.394521,31.6
1998.39726,32.4
1998.4,32
1998.40274,31.5
1998.405479,32.7
1998.408219,33.9
1998.410959,32.9
1998.413699,33
1998.416438,33.5
1998.419178,32.9
1998.421918,34.3
1998.424658,33.7
1998.427397,33.7
1998.430137,33.4
1998.432877,32.1
1998.435616,32.2
1998.438356,32.7
1998.441096,33.3
1998.443836,32.9
1998.446575,31.5
1998.449315,32.7
1998.452055,32.1
1998.454795,31.8
1998.457534,31.2
1998.460274,31.2
1998.463014,32.5
1998.465753,33.4
1998.468493,33.3
1998.471233,34.2
1998.473973,32.1
1998.476712,29.3
1998.479452,29
1998.482192,30.8
1998.484932,31.7
1998.487671,32.8
1998.490411,31.3
1998.493151,33
1998.49589,30.5
1998.49863,28.5
1998.50137,30.3
1998.50411,32.2
1998.506849,32.2
1998.509589,34.7
1998.512329,34.6
1998.515068,34.8
1998.517808,32.9
1998.520548,31.5
1998.523288,31.2
1998.526027,31.6
1998.528767,32.1
1998.531507,32.1
1998.534247,31
1998.536986,31
1998.539726,31.5
1998.542466,33.7
1998.545205,32.9
1998.547945,31.9
1998.550685,33.9
1998.553425,33
1998.556164,34.2
1998.558904,32.9
1998.561644,34
1998.564384,33.3
1998.567123,32.6
1998.569863,31.5
1998.572603,32.6
1998.575342,31.9
1998.578082,31.9
1998.580822,31.8
1998.583562,30.9
1998.586301,31.6
1998.589041,30.3
1998.591781,30.8
1998.594521,31.7
1998.59726,32.3
1998.6,33.3
1998.60274,31.9
1998.605479,32.2
1998.608219,32.5
1998.610959,32.6
1998.613699,32.4
1998.616438,33.2
1998.619178,32
1998.621918,34
1998.624658,31.4
1998.627397,31.9
1998.630137,32.6
1998.632877,32
1998.635616,33.9
1998.638356,33.8
1998.641096,34.1
1998.643836,34.6
1998.646575,35.4
1998.649315,36
1998.652055,34.3
1998.654795,31.4
1998.657534,31.3
1998.660274,31.5
1998.663014,31.4
1998.665753,31.9
1998.668493,31.8
1998.671233,31.8
1998.673973,32.3
1998.676712,32.2
1998.679452,31.6
1998.682192,36.3
1998.684932,36.4
1998.687671,32.4
1998.690411,32.9
1998.693151,32.6
1998.69589,32.5
1998.69863,33.5
1998.70137,32.9
1998.70411,33.7
1998.706849,34.5
1998.709589,34.1
1998.712329,33.7
1998.715068,34.3
1998.717808,34.6
1998.720548,36.2
1998.723288,35.1
1998.726027,32.6
1998.728767,33.9
1998.731507,33.9
1998.734247,35.3
1998.736986,32.4
1998.739726,33.7
1998.742466,34
1998.745205,34.8
1998.747945,33.2
1998.750685,32.9
1998.753425,35.2
1998.756164,32.8
1998.758904,33.6
1998.761644,33.7
1998.764384,35
1998.767123,33.8
1998.769863,35.3
1998.772603,34.5
1998.775342,34.8
1998.778082,34
1998.780822,36
1998.783562,34.5
1998.786301,35.1
1998.789041,35.1
1998.791781,34.1
1998.794521,34
1998.79726,33.5
1998.8,33.3
1998.80274,34.2
1998.805479,34.4
1998.808219,33.8
1998.810959,33.7
1998.813699,32.3
1998.816438,33.6
1998.819178,34
1998.821918,35.7
1998.824658,34.3
1998.827397,34.3
1998.830137,34.3
1998.832877,34.5
1998.835616,33.5
1998.838356,34.2
1998.841096,33.1
1998.843836,31.8
1998.846575,34.8
1998.849315,33
1998.852055,33.6
1998.854795,32.5
1998.857534,32.9
1998.860274,31.1
1998.863014,31.9
1998.865753,32.4
1998.868493,33.6
1998.871233,33.4
1998.873973,33.4
1998.876712,34.6
1998.879452,34.9
1998.882192,35.2
1998.884932,34.3
1998.887671,33.7
1998.890411,33.7
1998.893151,34.1
1998.89589,34.6
1998.89863,34.9
1998.90137,33.9
1998.90411,33.3
1998.906849,32.3
1998.909589,34.6
1998.912329,33.7
1998.915068,33.5
1998.917808,33.5
1998.920548,34.5
1998.923288,30
1998.926027,32.7
